Лiневiча Яраслава Львовiча
Булаўкіна Мiхаiла Фёдаравiча
Вагіну Алену Уладзiмiраўну
Вараб’ева Дзмiтрыя Уладзiмiравiча
Вараб’я Сяргея Мiкалаевiча
Варанецкага Вячаслава Анатольевiча
Варанца Сяргея Iосiфавiча
Васіленку Уладзiмiра Валянцiнавiча
Венску Сяргея Пятровiча
Верамеенку Алега Анатольевiча
Віславуса Мiхаiла Мiкалаевiча
Вішнеўскага Андрэя Мечыслававiча
Вярбенку Аляксандра Валерыевiча
Вяргейчыка Пятра Анатольевiча
Гаеля Канстанцiна Канстанцiнавiча
Гарбацкага Аляксандра Мiхайлавiча
Гарбача Валерыя Iванавiча
Генца Iгара Мiкалаевiча
Глушчанку Аляксандра Аляксандравiча
Говіна Дзімiтрыя Васiльевiча
Гольцава Юрыя Пятровiча
Грэбенюк Алену Уладзiмiраўну
Гуза Анатолiя Вiктаравiча
Гурына Сяргея Анатольевiча
Гур’янава Максіма Васiльевiча
Гусакова Генадзiя Станiслававiча
Дабрыяна Сяргея Васiльевiча
Давідзюка Вiктара Мiкалаевiча
Дайнеку Мiхаiла Мiхайлавiча
Дземчука Юрыя Iванавiча
Дзенісеню Андрэя Васiльевiча
Дзенісюка Вiктара Мiхайлавiча
Дзержаноўскага Вiталiя Эдвардавіча
Дзіршу Сяргея Аляксандравiча
Дзягілева Аляксандра Васiльевiча
Друза Уладзiмiра Баляслававiча
Дубіну Iрыну Сяменаўну
Дулебенца Мiхаiла Аляксандравiча
Ермакова Аляксандра Васiльевiча
Жорава Сяргея Уладзiмiравiча
Жылкевіча Аляксандра Мiхайлавiча
Завадскага Сяргея Леанiдавiча
Заранку Мiхаiла Мiхайлавiча
Зорнікава Мiкалая Жоржавіча
Зунікаву Святлану Уладзiмiраўну
Івашчанку Дзянiса Уладзiмiравiча
Ігнацюка Сяргея Уладзiмiравiча
Кавалёва Сяргея Вiктаравiча
Кавунова Аляксандра Мiкалаевiча
Казаева Станiслава Валер’евiча
Казакевіча Аляксандра Анатольевiча
Казлова Леанiда Мiхайлавiча
Казловіча Эдуарда Аляксандравiча
Казлоўскага Аляксандра Аляксандравiча
Калачыка Сяргея Мiхайлавiча
Камінскага Сяргея Анатольевiча
Караткевіча Сяргея Аляксеевiча
Карэнковіча Аляксандра Мiкалаевiча
Касаткіна Сяргея Валер’евiча
Каспяровіча Iгара Францавiча
Касяка Аляксандра Мiхайлавiча
Кашэўскага Руслана Уладзiмiравiча
Кізюкевіча Андрэя Антонавiча
Кіслага Дзмiтрыя Паўлавіча
Клюева Аляксандра Аляксеевiча
Кракасевіча Анатолiя Уладзiмiравiча
Крука Уладзiмiра Анатольевiча
Кручынскага Аляксандра Аляксандравiча
Кузняца Аляксандра Аляксандравiча
Кунахавец Алесю Мiхайлаўну
Куталёва Дзмiтрыя Вiктаравiча
Ланкевіча Сяргея Iванавiча
Лауткіна Вiталiя Мiкалаевiча
Лаўрэнцьеву Лілію Уладзiмiраўну
Лацэвіч Алесю Мiкалаеўну
Лашчыноўскага Алега Мiкалаевiча
Леановіча Вiктара Юзафавiча
Ліванскага Алега Генадзьевiча
Ліцагевіча Аляксандра Мiхайлавiча
Лішанкова Сяргея Валер’евiча
Ложкіна Аляксандра Уладзiмiравiча
Майко Уладзiмiра Анатольевiча
Майсіновіча Уладзiмiра Аляксандравiча
Макаранку Валянцiна Дзмiтрыевiча
Макарэвіча Анатолiя Анатольевiча
Маліноўскую Святлану Мiкалаеўну
Малочку Вiктара Мiхайлавiча
Малуху Аляксандра Канстанцiнавiча
Маркава Сяргея Вiктаравiча
Мароза Уладзiмiра Уладзiмiравiча
Марціновіча Мiкалая Мiкалаевiча
Марцішонка Анатолiя Антонавiча
Масюкевіча Iгара Сцяфанавіча
Мацешу Алега Iванавiча
Мацкевіча Мiхаiла Генадзьевiча
Мацко Алега Анатольевiча
Маярэнку Дзмiтрыя Мiкалаевiча
Мельнікава Аляксандра Уладзiмiравiча
Мельнікава Сяргея Iванавiча
Мірошніка Аляксандра Аляксандравiча
Міткевіча Аляксандра Валер’евiча
Міхайлаву Алу Герасiмаўну
Мішчанку Сяргея Барысавiча
Мурушчука Юрыя Валер’евiча
Мяснікова Аляксандра Барысавiча
Наумава Мiкалая Уладзiмiравiча
Наумовіча Юрыя Мечыслававiча
Нікалаева Руслана Валер’евiча
Нупрэйчыка Паўла Мiкалаевiча
Паддубіцкага Сяргея Канстанцiнавiча
Палянскага Аляксандра Валер’евiча
Папроцкага Мiхаiла Мiхайлавiча
Парфенчыка Валерыя Iванавiча
Парфянкова Аляксея Аляксандравiча
Паршына Андрэя Яўгенавiча
Паўлава Барыса Анатольевiча
Паўлава Вадзiма Iванавiча
Паўлава Паўла Валер’евiча
Пахоменку Аляксандра Валер’евiча
Плавана Уладзiмiра Уладзiмiравiча
Побаля Андрэя Мiкалаевiча
Попіка Мiхаiла Паўлавіча
Прыбора Сяргея Антонавiча
Прытульчыка Барыса Iванавiча
Пусянкова Вiктара Фёдаравiча
Пятрачэнку Аляксандра Сяргеевiча
Радаліцкага Мiхаiла Мiхайлавiча
Радзіёна Вячаслава Вячаслававiча
Разганава Уладзiмiра Мiхайлавiча
Рамановіча Васiлiя Яўгеньевiча
Раманчука Мiкалая Сяргеевiча
Руцкага Вячаслава Уладзiмiравiча
Савіка Сяргея Iванавiча
Сакалова Алега Юр’евiча
Сакаўнічага Генадзiя Мiхайлавiча
Самарыкава Сяргея Iванавiча
