fіo,dolzhnost,,,,,,,,,,,regіon
Пляханава Мікалая Мікалаевіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Маларыцкага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Рудова Сяргея Станіслававіча,"начальніка пажарнага аварыйна-выратавальнага паста № 13 Лёзненскага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Саўчанку Аляксандра Мікалаевіча,"намесніка начальніка аддзела службы і боегатоўнасці падраздзяленняў установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Серадзінскага Сяргея Віктаравіча,"вадзіцеля-выратавальніка пажарна-выратавальнай службы Салігорскага цэнтра дзяржаўнай пажарнай аварыйна-выратавальнай установы ""Рэспубліканскі атрад спецыяльнага прызначэння"" Міністэрства па надзвычайных сітуацыях, сяржанта ўнутранай службы",,,,,,,,,,,
Сівашынскага Эдуарда Віктаравіча,"намесніка начальніка па дзяржаўнаму пажарнаму нагляду Гарадоцкага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Смаляка Барыса Дзмітрыевіча,"старшага інструктара-выратавальніка пажарнай аварыйна-выратавальнай часці № 1 Наваполацкага гарадскога аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага сяржанта ўнутранай службы",,,,,,,,,,,
Стаселовіча Аляксандра Аляксеевіча,"начальніка каравула пажарнай аварыйна-выратавальнай часці № 1 Іўеўскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", капітана ўнутранай службы",,,,,,,,,,,
Сяргеенку Андрэя Васільевіча,"першага намесніка начальніка Лоеўскага раённага аддзела па надзвычайных сітуацыях установы ""Гомельскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Трацюка Эдуарда Іванавіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 1 Пружанскага раённага аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Усенку Мікалая Уладзіміравіча,"пажарнага пажарнага аварыйна-выратавальнага паста № 19 Слуцкага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Хільмановіча Алега Фёдаравіча,"камандзіра аддзялення пажарнай аварыйна-выратавальнай часці № 1 Мастоўскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", прапаршчыка ўнутранай службы",,,,,,,,,,,
Цаноўскага Міхаіла Яўгеньевіча,"намесніка начальніка па дзяржаўнаму пажарнаму нагляду Брэсцкага гарадскога аддзела па надзвычайных сітуацыях установы ""Брэсцкае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Шыманскага Аляксандра Багданавіча,"намесніка начальніка па дзяржаўнаму пажарнаму нагляду Міёрскага раённага аддзела па надзвычайных сітуацыях установы ""Віцебскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Шэўчыка Канстанціна Сяргеевіча,"старшага пажарнага пажарнай аварыйна-выратавальнай часці № 1 Мастоўскага раённага аддзела па надзвычайных сітуацыях установы ""Гродзенскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", старшага сяржанта ўнутранай службы",,,,,,,,,,,
Янчыка Уладзіміра Анатольевіча,"начальніка аддзела нагляду і прафілактыкі ўстановы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", падпалкоўніка ўнутранай службы",,,,,,,,,,,
Ярашэвіча Віктара Вячаслававіча,"старшага інжынера інспекцыі дзяржаўнага пажарнага нагляду Нясвіжскага раённага аддзела па надзвычайных сітуацыях установы ""Мінскае абласное ўпраўленне Міністэрства па надзвычайных сітуацыях Рэспублікі Беларусь"", маёра ўнутранай службы",,,,,,,,,,,
Аднаблюдаву Іну Ягораўну,"дырэктара рэспубліканскага вытворчага ўнітарнага прадпрыемства ""№ 4"" Дэпартамента выканання пакаранняў Міністэрства ўнутраных спраў, падпалкоўніка ўнутранай службы",,,,,,,,,,,
Анікееву Марыну Яўгенаўну,"генеральнага дырэктара адкрытага акцыянернага таварыства ""Малочны Мір""",,,,,,,,,,,
Апаланюка Сяргея Мікалаевіча,галоўнага інспектара аддзела мытнага афармлення і кантролю № 11 Маладзечанскага мытнага паста Мінскай рэгіянальнай мытні,,,,,,,,,,,
Арцем’ева Валерыя Паўлавіча,"дацэнта дзяржаўнай установы адукацыі ""Камандна-інжынерны інстытут"" Міністэрства па надзвычайных сітуацыях",,,,,,,,,,,
Бачкова Канстанціна Афанасьевіча,"прарэктара па навуковай рабоце ўстановы адукацыі ""Беларускі дзяржаўны ўніверсітэт транспарту""",,,,,,,,,,,
Булыгу Мікалая Мікалаевіча,"вядучага інжынера службы рэжымаў рэспубліканскага ўнітарнага прадпрыемства электраэнергетыкі ""ОДУ""",,,,,,,,,,,
Бякетаву Ганну Веньямінаўну,"дырэктара ўстановы ""Мінская спецыялізаваная дзіцяча-юнацкая школа алімпійскага рэзерву № 4"" рэспубліканскага дзяржаўна-грамадскага аб’яднання ""Беларускае фізкультурна-спартыўнае таварыства ""Дынама""",,,,,,,,,,,
Валанцей Алену Фёдараўну,"аператара расфасовачна-ўпаковачнага аўтамата цэха па вытворчасці натуральнамалочнай прадукцыі адкрытага акцыянернага таварыства ""Малочны Мір""",,,,,,,,,,,
Вараксу Юрыя Францішкавіча,"трэнера-выкладчыка па кікбоксінгу і тайландскаму боксу дзяржаўнай установы ""Мінская абласная комплексная спецыялізаваная дзіцяча-юнацкая школа алімпійскага рэзерву""",,,,,,,,,,,
Гузень Алену Філіпаўну,"намесніка галоўнага рэдактара абласнога ўнітарнага інфармацыйна-рэкламнага прадпрыемства ""Рэдакцыя газеты ""Гродзенская праўда""",,,,,,,,,,,
Гурынава Паўла Кузміча,"начальніка цэха капралактаму другой чаргі вытворчасці капралактаму адкрытага акцыянернага таварыства ""Гродна Азот""",,,,,,,,,,,
Добыша Мікалая Іванавіча,камандзіра-механіка земснарада рэспубліканскага ўнітарнага Днепра-Бярэзінскага прадпрыемства водных шляхоў,,,,,,,,,,,
Канюшкевіча Мікалая Сяргеевіча,"намесніка дырэктара ўстановы ""Мінская спецыялізаваная дзіцяча-юнацкая школа алімпійскага рэзерву № 1"" рэспубліканскага дзяржаўна-грамадскага аб’яднання ""Беларускае фізкультурна-спартыўнае таварыства ""Дынама""",,,,,,,,,,,
Карусейчыка Мікалая Іванавіча,"загадчыка мастацка-пастановачнай часткі канцэртных залаў установы ""Беларуская дзяржаўная ордэна Працоўнага Чырвонага Сцяга філармонія""",,,,,,,,,,,
Карцеля Мікалая Іванавіча,"слесара-рамонтніка адкрытага акцыянернага таварыства ""Полоцк-Стекловолокно""",,,,,,,,,,,
Корзуна Вячаслава Феліксавіча,"аператара вытворчасці крэменязёмных матэрыялаў адкрытага акцыянернага таварыства ""Полоцк-Стекловолокно""",,,,,,,,,,,
Кулакоўскага Барыса Леанідавіча,"прафесара дзяржаўнай установы адукацыі ""Камандна-інжынерны інстытут"" Міністэрства па надзвычайных сітуацыях",,,,,,,,,,,
Куцага Васілія Іванавіча,"машыніста кампрэсарных установак цэха карбаміду другой чаргі адкрытага акцыянернага таварыства ""Гродна Азот""",,,,,,,,,,,
Кушнірэнку Валерыя Сцяпанавіча,"галоўнага ўрача ўстановы аховы здароўя ""9-я гарадская клінічная бальніца"" г. Мінска",,,,,,,,,,,
